Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code,nom_standard
France,Chazey-sur-Ain,chazey-sur-ain,CHAZEY-SUR-AIN,01,Chazey-sur-Ain
France,Cheignieu-la-Balme,cheignieu-la-balme,CHEIGNIEU-LA-BALME,01,Cheignieu-la-Balme
France,Chevillard,chevillard,CHEVILLARD,01,Chevillard
France,Chevroux,chevroux,CHEVROUX,01,Chevroux
France,Chevry,chevry,CHEVRY,01,Chevry
France,Chézery-Forens,chezery-forens,CHÉZERY-FORENS,01,Chézery-Forens
France,Civrieux,civrieux,CIVRIEUX,01,Civrieux
France,Cize,cize,CIZE,01,Cize
France,Cleyzieu,cleyzieu,CLEYZIEU,01,Cleyzieu
France,Coligny,coligny,COLIGNY,01,Coligny
France,Collonges,collonges,COLLONGES,01,Collonges
France,Colomieu,colomieu,COLOMIEU,01,Colomieu
France,Conand,conand,CONAND,01,Conand
France,Condamine,condamine,CONDAMINE,01,Condamine
France,Condeissiat,condeissiat,CONDEISSIAT,01,Condeissiat
France,Confort,confort,CONFORT,01,Confort
France,Confrançon,confrancon,CONFRANÇON,01,Confrançon
France,Contrevoz,contrevoz,CONTREVOZ,01,Contrevoz
France,Conzieu,conzieu,CONZIEU,01,Conzieu
France,Corbonod,corbonod,CORBONOD,01,Corbonod
France,Corlier,corlier,CORLIER,01,Corlier
France,Cormoranche-sur-Saône,cormoranche-sur-saone,CORMORANCHE-SUR-SAÔNE,01,Cormoranche-sur-Saône
France,Cormoz,cormoz,CORMOZ,01,Cormoz
France,Corveissiat,corveissiat,CORVEISSIAT,01,Corveissiat
France,Courmangoux,courmangoux,COURMANGOUX,01,Courmangoux
France,Courtes,courtes,COURTES,01,Courtes
France,Crans,crans,CRANS,01,Crans
France,Bresse Vallons,bresse-vallons,BRESSE VALLONS,01,Bresse Vallons
France,Cressin-Rochefort,cressin-rochefort,CRESSIN-ROCHEFORT,01,Cressin-Rochefort
France,Crottet,crottet,CROTTET,01,Crottet
France,Crozet,crozet,CROZET,01,Crozet
France,Cruzilles-lès-Mépillat,cruzilles-les-mepillat,CRUZILLES-LÈS-MÉPILLAT,01,Cruzilles-lès-Mépillat
France,Culoz-Béon,culoz-beon,CULOZ-BÉON,01,Culoz-Béon
France,Curciat-Dongalon,curciat-dongalon,CURCIAT-DONGALON,01,Curciat-Dongalon
France,Curtafond,curtafond,CURTAFOND,01,Curtafond
France,Cuzieu,cuzieu,CUZIEU,01,Cuzieu
France,Dagneux,dagneux,DAGNEUX,01,Dagneux
France,Divonne-les-Bains,divonne-les-bains,DIVONNE-LES-BAINS,01,Divonne-les-Bains
France,Dompierre-sur-Veyle,dompierre-sur-veyle,DOMPIERRE-SUR-VEYLE,01,Dompierre-sur-Veyle
France,Dompierre-sur-Chalaronne,dompierre-sur-chalaronne,DOMPIERRE-SUR-CHALARONNE,01,Dompierre-sur-Chalaronne
France,Domsure,domsure,DOMSURE,01,Domsure
France,Dortan,dortan,DORTAN,01,Dortan
France,Douvres,douvres,DOUVRES,01,Douvres
France,Drom,drom,DROM,01,Drom
France,Druillat,druillat,DRUILLAT,01,Druillat
France,Échallon,echallon,ÉCHALLON,01,Échallon
France,Échenevex,echenevex,ÉCHENEVEX,01,Échenevex
France,Évosges,evosges,ÉVOSGES,01,Évosges
France,Faramans,faramans,FARAMANS,01,Faramans
France,Fareins,fareins,FAREINS,01,Fareins
France,Farges,farges,FARGES,01,Farges
France,Feillens,feillens,FEILLENS,01,Feillens
France,Ferney-Voltaire,ferney-voltaire,FERNEY-VOLTAIRE,01,Ferney-Voltaire
France,Flaxieu,flaxieu,FLAXIEU,01,Flaxieu
France,Foissiat,foissiat,FOISSIAT,01,Foissiat
France,Francheleins,francheleins,FRANCHELEINS,01,Francheleins
France,Frans,frans,FRANS,01,Frans
France,Garnerans,garnerans,GARNERANS,01,Garnerans
France,Genouilleux,genouilleux,GENOUILLEUX,01,Genouilleux
France,Béard-Géovreissiat,beard-geovreissiat,BÉARD-GÉOVREISSIAT,01,Béard-Géovreissiat
France,Géovreisset,geovreisset,GÉOVREISSET,01,Géovreisset
France,Gex,gex,GEX,01,Gex
France,Giron,giron,GIRON,01,Giron
France,Gorrevod,gorrevod,GORREVOD,01,Gorrevod
France,Grand-Corent,grand-corent,GRAND-CORENT,01,Grand-Corent
France,Grièges,grieges,GRIÈGES,01,Grièges
France,Grilly,grilly,GRILLY,01,Grilly
France,Groissiat,groissiat,GROISSIAT,01,Groissiat
France,Guéreins,guereins,GUÉREINS,01,Guéreins
France,Hautecourt-Romanèche,hautecourt-romaneche,HAUTECOURT-ROMANÈCHE,01,Hautecourt-Romanèche
France,Plateau d'Hauteville,plateau-d-hauteville,PLATEAU D'HAUTEVILLE,01,Plateau d'Hauteville
France,Haut Valromey,haut-valromey,HAUT VALROMEY,01,Haut Valromey
France,Illiat,illiat,ILLIAT,01,Illiat
France,Injoux-Génissiat,injoux-genissiat,INJOUX-GÉNISSIAT,01,Injoux-Génissiat
France,Innimond,innimond,INNIMOND,01,Innimond
France,Izenave,izenave,IZENAVE,01,Izenave
France,Izernore,izernore,IZERNORE,01,Izernore
France,Izieu,izieu,IZIEU,01,Izieu
France,Jassans-Riottier,jassans-riottier,JASSANS-RIOTTIER,01,Jassans-Riottier
France,Jasseron,jasseron,JASSERON,01,Jasseron
France,Jayat,jayat,JAYAT,01,Jayat
France,Journans,journans,JOURNANS,01,Journans
France,Joyeux,joyeux,JOYEUX,01,Joyeux
France,Jujurieux,jujurieux,JUJURIEUX,01,Jujurieux
France,Labalme,labalme,LABALME,01,Labalme
France,Lagnieu,lagnieu,LAGNIEU,01,Lagnieu
France,Laiz,laiz,LAIZ,01,Laiz
France,Le Poizat-Lalleyriat,le-poizat-lalleyriat,LE POIZAT-LALLEYRIAT,01,Le Poizat-Lalleyriat
France,Lantenay,lantenay,LANTENAY,01,Lantenay
France,Lapeyrouse,lapeyrouse,LAPEYROUSE,01,Lapeyrouse
France,Lavours,lavours,LAVOURS,01,Lavours
France,Léaz,leaz,LÉAZ,01,Léaz
France,Lélex,lelex,LÉLEX,01,Lélex
France,Lent,lent,LENT,01,Lent
France,Lescheroux,lescheroux,LESCHEROUX,01,Lescheroux
France,Leyment,leyment,LEYMENT,01,Leyment
France,Leyssard,leyssard,LEYSSARD,01,Leyssard
France,Surjoux-Lhopital,surjoux-lhopital,SURJOUX-LHOPITAL,01,Surjoux-Lhopital
France,Lhuis,lhuis,LHUIS,01,Lhuis
France,Lompnas,lompnas,LOMPNAS,01,Lompnas
France,Loyettes,loyettes,LOYETTES,01,Loyettes
France,Lurcy,lurcy,LURCY,01,Lurcy
France,Magnieu,magnieu,MAGNIEU,01,Magnieu
France,Maillat,maillat,MAILLAT,01,Maillat
France,Malafretaz,malafretaz,MALAFRETAZ,01,Malafretaz
France,Mantenay-Montlin,mantenay-montlin,MANTENAY-MONTLIN,01,Mantenay-Montlin
France,Manziat,manziat,MANZIAT,01,Manziat
France,Marboz,marboz,MARBOZ,01,Marboz
France,Marchamp,marchamp,MARCHAMP,01,Marchamp
France,Marignieu,marignieu,MARIGNIEU,01,Marignieu
France,Marlieux,marlieux,MARLIEUX,01,Marlieux
France,Marsonnas,marsonnas,MARSONNAS,01,Marsonnas
France,Martignat,martignat,MARTIGNAT,01,Martignat
France,Massieux,massieux,MASSIEUX,01,Massieux
France,Massignieu-de-Rives,massignieu-de-rives,MASSIGNIEU-DE-RIVES,01,Massignieu-de-Rives
France,Matafelon-Granges,matafelon-granges,MATAFELON-GRANGES,01,Matafelon-Granges
France,Meillonnas,meillonnas,MEILLONNAS,01,Meillonnas
France,Mérignat,merignat,MÉRIGNAT,01,Mérignat
France,Messimy-sur-Saône,messimy-sur-saone,MESSIMY-SUR-SAÔNE,01,Messimy-sur-Saône
France,Meximieux,meximieux,MEXIMIEUX,01,Meximieux
France,Bohas-Meyriat-Rignat,bohas-meyriat-rignat,BOHAS-MEYRIAT-RIGNAT,01,Bohas-Meyriat-Rignat
France,Mézériat,mezeriat,MÉZÉRIAT,01,Mézériat
France,Mijoux,mijoux,MIJOUX,01,Mijoux
France,Mionnay,mionnay,MIONNAY,01,Mionnay
France,Miribel,miribel,MIRIBEL,01,Miribel
France,Misérieux,miserieux,MISÉRIEUX,01,Misérieux
France,Mogneneins,mogneneins,MOGNENEINS,01,Mogneneins
France,Montagnat,montagnat,MONTAGNAT,01,Montagnat
France,Montagnieu,montagnieu,MONTAGNIEU,01,Montagnieu
France,Montanges,montanges,MONTANGES,01,Montanges
France,Montceaux,montceaux,MONTCEAUX,01,Montceaux
France,Montcet,montcet,MONTCET,01,Montcet
France,Le Montellier,le-montellier,LE MONTELLIER,01,Le Montellier
France,Monthieux,monthieux,MONTHIEUX,01,Monthieux
France,Montluel,montluel,MONTLUEL,01,Montluel
France,Montmerle-sur-Saône,montmerle-sur-saone,MONTMERLE-SUR-SAÔNE,01,Montmerle-sur-Saône
France,Montracol,montracol,MONTRACOL,01,Montracol
France,Montréal-la-Cluse,montreal-la-cluse,MONTRÉAL-LA-CLUSE,01,Montréal-la-Cluse
France,Montrevel-en-Bresse,montrevel-en-bresse,MONTREVEL-EN-BRESSE,01,Montrevel-en-Bresse
France,Nurieux-Volognat,nurieux-volognat,NURIEUX-VOLOGNAT,01,Nurieux-Volognat
France,Murs-et-Gélignieux,murs-et-gelignieux,MURS-ET-GÉLIGNIEUX,01,Murs-et-Gélignieux
France,Nantua,nantua,NANTUA,01,Nantua
France,Neuville-les-Dames,neuville-les-dames,NEUVILLE-LES-DAMES,01,Neuville-les-Dames
France,Neuville-sur-Ain,neuville-sur-ain,NEUVILLE-SUR-AIN,01,Neuville-sur-Ain
France,Les Neyrolles,les-neyrolles,LES NEYROLLES,01,Les Neyrolles
France,Neyron,neyron,NEYRON,01,Neyron
France,Niévroz,nievroz,NIÉVROZ,01,Niévroz
France,Nivollet-Montgriffon,nivollet-montgriffon,NIVOLLET-MONTGRIFFON,01,Nivollet-Montgriffon
France,Oncieu,oncieu,ONCIEU,01,Oncieu
France,Ordonnaz,ordonnaz,ORDONNAZ,01,Ordonnaz
France,Ornex,ornex,ORNEX,01,Ornex
France,Outriaz,outriaz,OUTRIAZ,01,Outriaz
France,Oyonnax,oyonnax,OYONNAX,01,Oyonnax
France,Ozan,ozan,OZAN,01,Ozan
France,Parcieux,parcieux,PARCIEUX,01,Parcieux
France,Parves et Nattages,parves-et-nattages,PARVES ET NATTAGES,01,Parves et Nattages
France,Péron,peron,PÉRON,01,Péron
France,Péronnas,peronnas,PÉRONNAS,01,Péronnas
France,Pérouges,perouges,PÉROUGES,01,Pérouges
France,Perrex,perrex,PERREX,01,Perrex
France,Peyriat,peyriat,PEYRIAT,01,Peyriat
France,Peyrieu,peyrieu,PEYRIEU,01,Peyrieu
France,Peyzieux-sur-Saône,peyzieux-sur-saone,PEYZIEUX-SUR-SAÔNE,01,Peyzieux-sur-Saône
France,Pirajoux,pirajoux,PIRAJOUX,01,Pirajoux
France,Pizay,pizay,PIZAY,01,Pizay
France,Plagne,plagne,PLAGNE,01,Plagne
France,Le Plantay,le-plantay,LE PLANTAY,01,Le Plantay
France,Polliat,polliat,POLLIAT,01,Polliat
France,Pollieu,pollieu,POLLIEU,01,Pollieu
France,Poncin,poncin,PONCIN,01,Poncin
France,Pont-d'Ain,pont-d-ain,PONT-D'AIN,01,Pont-d'Ain
France,Pont-de-Vaux,pont-de-vaux,PONT-DE-VAUX,01,Pont-de-Vaux
France,Pont-de-Veyle,pont-de-veyle,PONT-DE-VEYLE,01,Pont-de-Veyle
France,Port,port,PORT,01,Port
France,Pougny,pougny,POUGNY,01,Pougny
France,Pouillat,pouillat,POUILLAT,01,Pouillat
France,Prémeyzel,premeyzel,PRÉMEYZEL,01,Prémeyzel
France,Prémillieu,premillieu,PRÉMILLIEU,01,Prémillieu
France,Prévessin-Moëns,prevessin-moens,PRÉVESSIN-MOËNS,01,Prévessin-Moëns
France,Priay,priay,PRIAY,01,Priay
France,Ramasse,ramasse,RAMASSE,01,Ramasse
France,Rancé,rance,RANCÉ,01,Rancé
France,Relevant,relevant,RELEVANT,01,Relevant
France,Replonges,replonges,REPLONGES,01,Replonges
